Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,148,120,251,"40,45","0,000%","13,28021","2,19","1,93","169,0"
user_info_2,50,135,120,255,"22,66","0,000%","13,69113","6,31","3,32","472,0"
user_info_3,50,136,120,312,"32,82","0,000%","13,75516","4,97","3,29","370,0"
object_info_1,50,133,120,286,"25,83","0,000%","13,77031","3,16","2,26","235,0"
object_info_2,50,135,122,312,"28,79","0,000%","13,79310","6,47","2,21","480,0"
object_info_3,50,133,120,284,"26,88","0,000%","13,81215","7,07","2,20","524,0"
object_info_4,50,133,120,281,"25,95","0,000%","13,81597","3,24","2,24","240,0"
TOTAL,350,136,120,312,"29,96","0,000%","77,55373","26,94","14,10","355,7"
