Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,500,899,134,7614,"1156,46","0,000%","47,62812","7,86","6,93","169,0"
user_info_2,500,858,133,7470,"774,79","0,000%","47,70992","21,99","11,55","472,0"
user_info_3,500,941,124,7191,"849,57","0,000%","45,08160","16,29","10,79","370,0"
object_info_1,500,944,127,4181,"721,81","0,400%","45,27755","10,79","7,40","244,0"
object_info_2,500,921,124,4419,"699,68","0,000%","46,19791","21,66","7,40","480,0"
object_info_3,500,869,124,7469,"827,56","0,000%","47,36194","24,24","7,54","524,0"
object_info_4,500,740,122,4803,"684,60","0,200%","48,85675","11,67","7,90","244,5"
TOTAL,3500,882,122,7614,"832,70","0,086%","293,59953","102,55","53,33","357,7"
