Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,1059,129,15128,"1239,16","0,000%","14,22475","2,35","2,07","169,0"
user_info_2,250,1710,132,7863,"1654,17","2,000%","14,24015","7,13","3,38","512,5"
user_info_3,250,1802,123,8757,"1586,06","2,400%","14,28245","5,87","3,34","421,0"
object_info_1,250,1750,125,8971,"1652,77","1,600%","14,29552","3,79","2,31","271,2"
object_info_2,250,1410,129,7523,"1169,74","0,000%","14,36204","6,73","2,30","480,0"
object_info_3,250,1423,129,15145,"1558,03","0,400%","14,53742","7,55","2,30","531,9"
object_info_4,250,1185,124,6420,"1180,39","0,800%","14,88804","3,75","2,39","258,0"
TOTAL,1750,1477,123,15145,"1474,06","1,029%","95,41985","35,19","17,14","377,7"
